AVAILABILITY & PRICING TEXT FILE,,,,,,,,,,,,,,,,,,,,
Product ID,Product Status,Item Status,Product Description,Description #2,Description #3,Reg Price,P/U Price,SOH,ALC,Avail,PO Date 1,PO Qty 1,PO Date 2,PO Qty 2,PO Date 3,PO Qty 3,PO Date 4,PO Qty 4,PO Date 5,PO Qty 5
CT128-9-3,Slow Seller,Active,3PC. COFFEE SET (C+E+S),CLEAR GLASS W/ ACRYLIC LEGS,STAINLESS STEEL ACCENTS,530,557,,,2,,,,,,,,,,
CT128-9-9,Slow Seller,Active,3PC. COFFEE SET (C+2E),CLEAR GLASS W/ ACRYLIC LEGS,STAINLESS STEEL ACCENTS,463,487,,,6,,,,,,,,,,
CT128-9-9-3,Slow Seller,Active,4PC. COFFEE SET (C+2E+S),CLEAR GLASS W/ ACRYLIC LEGS,STAINLESS STEEL ACCENTS,662,696,,,2,,,,,,,,,,
CT128,Slow Seller,Active,CT128 COFFEE TABLE,CLEAR GLASS W/ ACRYLIC LEGS,STAINLESS STEEL ACCENTS,149,157,6,0,6,,,,,,,,,,
 ,,,,,,,,,,,,,,,,,,,,
CT129,Slow Seller,Active,CT129 END TABLE,CLEAR GLASS W/ ACRYLIC LEGS,STAINLESS STEEL ACCENTS,99,104,30,0,30,,,,,,,,,,
 ,,,,,,,,,,,,,,,,,,,,
CT130,Slow Seller,Active,CT130 CONSOLE TABLE,CLEAR GLASS W/ ACRYLIC LEGS,STAINLESS STEEL ACCENTS,149,157,2,0,2,,,,,,,,,,
 ,,,,,,,,,,,,,,,,,,,,
CT137-8,Slow Seller,Active,2PC. COFFEE SET (2+E),CLEAR GLASS W/ ACRYLIC LEGS,STAINLESS STEEL ACCENTS,331,348,,,40,,,,,,,,,,
CT137-8-8,Slow Seller,Active,3PC. COFFEE SET (C+2E),CLEAR GLASS W/ ACRYLIC LEGS,STAINLESS STEEL ACCENTS,463,487,,,28,,,,,,,,,,
CT137-8-8-9,Slow Seller,Active,4PC. COFFEE SET (C+2E+S),CLEAR GLASS W/ ACRYLIC LEGS,STAINLESS STEEL ACCENTS,662,696,,,28,,,,,,,,,,
CT137-8-9,Slow Seller,Active,3PC. COFFEE SET (C+E+S),CLEAR GLASS W/ ACRYLIC LEGS,STAINLESS STEEL ACCENTS,530,557,,,38,,,,,,,,,,
CT137,Slow Seller,Active,CT137 COFFEE TABLE,CLEAR GLASS W/ ACRYLIC LEGS,STAINLESS STEEL ACCENTS,149,157,40,0,40,,,,,,,,,,
 ,,,,,,,,,,,,,,,,,,,,
CT138,Slow Seller,Active,CT138 END TABLE,CLEAR GLASS W/ ACRYLIC LEGS,STAINLESS STEEEL ACCENTS,129,136,56,0,56,,,,,,,,,,
 ,,,,,,,,,,,,,,,,,,,,
CT139,Slow Seller,Active,CT139 CONSOLE TABLE,CLEAR GLASS W/ ACRYLIC LEGS,STAINLESS STEEL ACCENTS,149,157,38,0,38,,,,,,,,,,
 ,,,,,,,,,,,,,,,,,,,,
CT17,Slow Seller,Active,CT17 COFFEE TABLE,GRAY MARBLE TOP,STAINLESS STEEL GOLD,399,420,,,24,,,,,,,,,,
CT17-8,Slow Seller,Active,2PC. COFFEE SET (C+E),GRAY MARBLE TOP W/ STAINLESS STEEL GOLD,* 4 BOXES *,759,798,,,23,,,,,,,,,,
CT17-8-8,Slow Seller,Active,3PC. COFFEE SET (C+2E),GRAY MARBLE TOP W/ STAINLESS STEEL GOLD,* 6 BOXES *,1052,1107,,,12,,,,,,,,,,
CT17-8-8-9,Slow Seller,Active,4PC. COFFEE SET (C+2E+S),GRAY MARBLE TOP W/ STAINLESS STEEL GOLD,* 8 BOXES *,1598,1682,,,12,,,,,,,,,,
CT17-8-9,Slow Seller,Active,3PC. COFFEE SET (C+E+S),GRAY MARBLE TOP W/ STAINLESS STEEL GOLD,* 6 BOXES *,1305,1373,,,23,,,,,,,,,,
CT17-1,Slow Seller,Active,CT17 COFFEE TABLE TOP,GRAY MARBLE TOP,* BOX 1 OF 2 *,0,,24,0,24,,,,,,,,,,
CT17-2,Slow Seller,Active,CT17 COFFEE TABLE BASE,STAINLESS STEEL GOLD ,* BOX 2 OF 2 *,0,,25,0,25,,,,,,,,,,
 ,,,,,,,,,,,,,,,,,,,,
CT18,Slow Seller,Active,CT18 END TABLE,GRAY MARBLE TOP,STAINLESS STEEL GOLD,249,262,,,23,,,,,,,,,,
CT18-1,Slow Seller,Active,CT18 END TABLE TOP,GRAY MARBLE TOP,* BOX 1 OF 2 *,0,,23,0,23,,,,,,,,,,
CT18-2,Slow Seller,Active,CT18 END TABLE BASE,STAINLESS STEEL GOLD,* BOX 2 OF 2 *,0,,23,0,23,,,,,,,,,,
 ,,,,,,,,,,,,,,,,,,,,
CT19,Slow Seller,Active,CT19 CONSOLE TABLE,GRAY MARBLE TOP,STAINLESS STEEL GOLD,429,452,,,31,,,,,,,,,,
CT19-1,Slow Seller,Active,CT19 CONSOLE TABLE TOP,GRAY MARBLE TOP,* BOX 1 OF 2 *,0,,31,0,31,,,,,,,,,,
CT19-2,Slow Seller,Active,CT19 CONSOLE TABLE BASE,STAINLESS STEEL GOLD,* BOX 2 OF 2 *,0,,31,0,31,,,,,,,,,,
 ,,,,,,,,,,,,,,,,,,,,
CT20,Slow Seller,Active,CT20 COFFEE TABLE,HIGH GLOSS WHITE COLOR,TEMPERED GLASS,179,188,,,56,,,,,,,,,,
CT20-1,Slow Seller,Active,CT20 COFFEE TABLE GLASS,TEMPERED GLASS,* BOX 1 OF 3 *,0,0,65,3,62,,,,,,,,,,
CT20-2,Slow Seller,Active,CT20 COFFEE TABLE BASE,WHITE COLOR,* BOX 2 OF 3 *,0,0,59,3,56,,,,,,,,,,
CT20-3,Slow Seller,Active,CT20 COFFEE TABLE 2 STOOLS,WHITE COLOR,* BOX 3 OF 3 *,0,0,61,3,58,,,,,,,,,,
 ,,,,,,,,,,,,,,,,,,,,
CT21,Slow Seller,Active,CT21 COFFEE TABLE,HIGH GLOSS BLACK COLOR,TEMPERED GLASS,179,188,,,59,,,,,,,,,,
CT21-1,Slow Seller,Active,CT21 COFFEE TABLE GLASS,TEMPERED GLASS,* BOX 1 OF 3 *,0,0,66,0,66,,,,,,,,,,
CT21-2,Slow Seller,Active,CT21 COFFEE TABLE BASE,BLACK COLOR,* BOX 2 OF 3 *,0,0,59,0,59,,,,,,,,,,
CT21-3,Slow Seller,Active,CT21 COFFEE TABLE 2 STOOLS,BLACK COLOR,* BOX 3 OF 3 *,0,0,60,0,60,,,,,,,,,,
 ,,,,,,,,,,,,,,,,,,,,
CT219,Slow Seller,Active,CT219 COFFEE TABLE,ESPRESSO COLOR,* 2 BOXES *,79,83,,,25,,,,,,,,,,
CT219-20,Slow Seller,Active,2PC. COFFEE SET (C+E),ESPRESSO,* 4 BOXES *,200,210,,,25,,,,,,,,,,
CT219-20-20,Slow Seller,Active,3PC. COFFEE SET (C+2E),ESPRESSO ,* 6 BOXES *,290,305,,,25,,,,,,,,,,
CT219-20-21,Slow Seller,Active,3PC. COFFEE SET (C+2E+S),ESPRESSO,* 6 BOXES *,319,335,,,25,,,,,,,,,,
CT219-2E-CO,Slow Seller,Active,4PC. COFFEE SET (C+2E+S),ESPRESSO,* 8 BOXES *,409,430,,,25,,,,,,,,,,
CT219-1,Slow Seller,Active,CT219 COFFEE TABLE GLASS,CLEAR COLOR,* BOX 1 OF 2 *,0,,27,2,25,,,,,,,,,,
CT219-2,Slow Seller,Active,CT219 COFFEE TABLE LEGS,ESPRESSO COLOR,* BOX 2 OF 2 *,0,,32,2,30,,,,,,,,,,
 ,,,,,,,,,,,,,,,,,,,,
CT220,Slow Seller,Active,CT220 END TABLE,ESPRESSO COLOR,* 2 BOXES *,69,73,,,67,,,,,,,,,,
CT220-1,Slow Seller,Active,CT220 END TABLE GLASS,CLEAR COLOR,* BOX 1 OF 2 *,0,,73,6,67,,,,,,,,,,
CT220-2,Slow Seller,Active,CT220 END TABLE LEGS,ESPRESSO COLOR,* BOX 2 OF 2 *,0,,79,6,73,,,,,,,,,,
 ,,,,,,,,,,,,,,,,,,,,
CT221,Slow Seller,Active,CT221 CONSOLE TABLE,ESPRESSO COLOR,* 2 BOXES *,89,94,,,103,,,,,,,,,,
CT221-1,Slow Seller,Active,CT221 CONSOLE TABLE GLASS ,CLEAR COLOR,* BOX 1 OF 2 *,0,,105,2,103,,,,,,,,,,
CT221-2,Slow Seller,Active,CT221 CONSOLE TABLE LEGS,ESPRESSO COLOR,* BOX 2 OF 2 *,0,,107,2,105,,,,,,,,,,
 ,,,,,,,,,,,,,,,,,,,,
CT2314,Slow Seller,Active,CT2314 COFFEE TABLE W/ 2 STOOLS,HIGH GLOSS WHITE COLOR,TEMPERED GLASS,129,136,,,128,,,,,,,,,,
CT2314-1,Slow Seller,Active,CT2314 COFFEE TABLE TOP GLASS + SHELVES,WHITE COLOR,* BOX 1 OF 2 *,0,,129,1,128,,,,,,,,,,
