AVAILABILITY & PRICING TEXT FILE,,,,,,,,,,,,,,,,,,,,
Product ID,Product Status,Item Status,Product Description,Description #2,Description #3,Reg Price,P/U Price,SOH,ALC,Avail,PO Date 1,PO Qty 1,PO Date 2,PO Qty 2,PO Date 3,PO Qty 3,PO Date 4,PO Qty 4,PO Date 5,PO Qty 5
B103-QB,Discontinued,Active,B103 QUEEN BED,NAVY BLUE COLOR,VELVET FABRIC,89,85,383,1,382,,,,,,,,,,
B103-TB,Discontinued,Active,B103 TWIN BED,NAVY BLUE COLOR,VELVET FABRIC,79,75,1,0,1,,,,,,,,,,
 ,,,,,,,,,,,,,,,,,,,,
B106,Discontinued,Active,B106 QUEEN & FULL HEADBOADY (ONLY),DARK GRAY COLOR,VELVET FABRIC,95,100,106,0,106,,,,,,,,,,
 ,,,,,,,,,,,,,,,,,,,,
B107,Discontinued,Active,B107 QUEEN & FULL HEADBOARD (ONLY),BLACK COLOR,VELVET FABRIC,95,100,3,0,3,,,,,,,,,,
 ,,,,,,,,,,,,,,,,,,,,
B108,Discontinued,Active,B108 QUEEN & FULL HEADBOARD (ONLY),NAVY BLUE COLOR,VELVET FABRIC,95,100,76,0,76,,,,,,,,,,
 ,,,,,,,,,,,,,,,,,,,,
B112-FB,Discontinued,Active,B112 FULL BED,DARK GRAY COLOR,VELVET FABRIC,117,123,406,1,405,,,,,,,,,,
B112-QB,Discontinued,Active,B112 QUEEN BED,DARK GRAY COLOR,VELVET FABRIC,128,134,378,0,378,,,,,,,,,,
B112-TB,Discontinued,Active,B112 TWIN BED,DARK GRAY COLOR,VELVET FABRIC,101,106,166,1,165,,,,,,,,,,
 ,,,,,,,,,,,,,,,,,,,,
B113-FB,Discontinued,Active,B113 FULL BED,BLACK COLOR,VELVET FABRIC,117,123,536,0,536,,,,,,,,,,
B113-QB,Discontinued,Active,B113 QUEEN BED,BLACK COLOR,VELVET FABRIC,128,134,267,0,267,,,,,,,,,,
B113-TB,Discontinued,Active,B113 TWIN BED,BLACK COLOR,VELVET FABRIC,101,106,143,0,143,,,,,,,,,,
 ,,,,,,,,,,,,,,,,,,,,
B125-FB,Discontinued,Active,B125 FULL STORAGE BED,WHITE FAUX LEATHER,* 1 BOX *,262,275,87,0,87,,,,,,,,,,
B125-QB,Discontinued,Active,B125 QUEEN STORAGE BED,WHITE FAUX LEATHER,* 1 BOX *,274,288,75,1,74,,,,,,,,,,
B125-TB,Discontinued,Active,B125 TWIN STORAGE BED,WHITE FAUX LEATHER,* 1 BOX *,242,254,23,0,23,,,,,,,,,,
 ,,,,,,,,,,,,,,,,,,,,
B128-FB,Discontinued,Active,B128 FULL STORAGE BED,WHITE FAUX LEATHER,* 1 BOX *,272,286,108,0,108,,,,,,,,,,
B128-QB,Discontinued,Active,B128 QUEEN STORAGE BED,WHITE FAUX LEATHER,* 1 BOX *,285,299,139,1,138,,,,,,,,,,
B128-TB,Discontinued,Active,B128 TWIN STORAGE BED,WHITE FAUX LEATHER,* 1 BOX *,251,264,20,1,19,,,,,,,,,,
 ,,,,,,,,,,,,,,,,,,,,
B129-FB,Discontinued,Active,B129 FULL STORAGE BED,DARK GRAY VELVET,* 1 BOX *,273,287,1,0,1,,,,,,,,,,
B129-QB,Discontinued,Active,B129 QUEEN STORAGE BED,DARK GRAY VELVET,* 1 BOX *,285,300,8,0,8,,,,,,,,,,
B129-TB,Discontinued,Active,B129 TWIN STORAGE BED,DARK GRAY VELVET,* 1 BOX *,252,265,44,0,44,,,,,,,,,,
 ,,,,,,,,,,,,,,,,,,,,
B134,Discontinued,Active,B134 QUEEN & FULL HEADBOAD (ONLY),WHITE COLOR,FAUX LEATHER,97,92,96,1,95,,,,,,,,,,
 ,,,,,,,,,,,,,,,,,,,,
B135-FB,Discontinued,Active,B135 FULL BED,DARK GRAY COLOR,FAUX LEATHER,83,79,68,0,68,,,,,,,,,,
B135-QB,Discontinued,Active,B135 QUEEN BED,DARK GRAY COLOR,FAUX LEATHER,89,85,2,0,2,,,,,,,,,,
B135-TB,Discontinued,Active,B135 TWIN BED,DARK GRAY COLOR,FAUX LEATHER,52,49,0,0,0,,,,,,,,,,
 ,,,,,,,,,,,,,,,,,,,,
B136-FB,Discontinued,Active,B136 FULL BED,BLACK COLOR,FAUX LEATHER,83,79,145,0,145,,,,,,,,,,
B136-QB,Discontinued,Active,B136 QUEEN BED,BLACK COLOR,FAUX LEATHER,89,85,156,1,155,,,,,,,,,,
B136-TB,Discontinued,Active,B136 TWIN BED,BLACK COLOR,FAUX LEATHER,79,75,32,0,32,,,,,,,,,,
 ,,,,,,,,,,,,,,,,,,,,
B137-FB,Discontinued,Active,B137 FULL BED,WHITE COLOR,FAUX LEATHER,83,79,1,0,1,,,,,,,,,,
B137-QB,Discontinued,Active,B137 QUEEN BED,WHITE COLOR,FAUX LEATHER,89,85,199,3,196,,,,,,,,,,
B137-TB,Discontinued,Active,B137 TWIN BED,WHITE COLOR,FAUX LEATHER,79,75,69,5,64,,,,,,,,,,
 ,,,,,,,,,,,,,,,,,,,,
B26-CKB,Discontinued,Active,B26 CAL. KING BED,DARK GRAY VELVET,* 3 BOXES *,420,399,,,3,,,,,,,,,,
B26-EKB,Discontinued,Active,B26 EASTERN KING BED,DARK GRAY VELVET,* 3 BOXES *,473,449,,,0,,,,,,,,,,
B26-QB,Discontinued,Active,B26 QUEEN BED,DARK GRAY VELVET,* 3 BOXES *,367,349,,,6,,,,,,,,,,
B26-CK-FB,Discontinued,Active,B26 CAL. KING FOOTBOARD & SIDE RAILS,DARK GRAY VELVET,* BOX 2 OF 3 *,0,,3,0,3,,,,,,,,,,
B26-EK-FB,Discontinued,Active,B26 EASTERN KING FOOTBOARD & SIDE RAILS,DARK GRAY VELVET,* BOX 2 OF 3 *,0,,0,0,0,,,,,,,,,,
B26-EKCK-HB,Discontinued,Active,B26 EASTERN & CAL. KING HEADBOARD,DARK GRAY VELVET,* BOX 1 OF 3 *,0,,3,0,3,,,,,,,,,,
B26-EKCK-SL,Discontinued,Active,B26 EASTERN & CAL. KING SLATS,* BOX 3 OF 3 *,,0,,3,0,3,,,,,,,,,,
B26-Q-FB,Discontinued,Active,B26 QUEEN FOOTBOARD & SIDERAILS,DARK GRAY VELVET,* BOX 2 OF 3 *,0,,6,0,6,,,,,,,,,,
B26-Q-HB,Discontinued,Active,B26 QUEEN HEADBOARD,DARK GRAY VELVET,* BOX 1 OF 3 *,0,,6,0,6,,,,,,,,,,
B26-Q-SL,Discontinued,Active,B26 QUEEN SLAT,* BOX 3 OF 3 *,,0,,6,0,6,,,,,,,,,,
 ,,,,,,,,,,,,,,,,,,,,
B27-CKB,Discontinued,Active,B27 CAL. KING BED,NAVY BLUE VELVET,* 3 BOXES *,420,399,,,7,,,,,,,,,,
B27-EKB,Discontinued,Active,B27 EASTERN KING BED,NAVY BLUE VELVET,* 3 BOXES *,420,399,,,3,,,,,,,,,,
B27-QB,Discontinued,Active,B27 QUEEN BED,NAVY BLUE VELVET,* 3 BOXES *,367,349,,,6,,,,,,,,,,
B27-CK-FB,Discontinued,Active,B27 CAL. KING FOOTBOARD & SIDE RAILS,NAVY BLUE VELVET,* BOX 2 OF 3 *,0,,7,0,7,,,,,,,,,,
B27-EK-FB,Discontinued,Active,B27 EASTERN KING BED FOOTBOARD & SIDERAIL,NAVY BLUE VELVET,* BOX 2 OF 3 *,0,,3,0,3,,,,,,,,,,
B27-EKCK-HB,Discontinued,Active,B27 EASTERN & CAL. KING HEADBOARD ,NAVY BLUE VELVET,* BOX 1 OF 3 *,0,,10,0,10,,,,,,,,,,
B27-EKCK-SL,Discontinued,Active,B27 EASTERN & CAL. KING SLATS,* BOX 3 OF 3 *,,0,,10,0,10,,,,,,,,,,
B27-Q-FB,Discontinued,Active,B27 QUEEN FOOTBOARD & SIDERAILS,NAVY BLUE VELVET,* BOX 2 OF 3 *,0,,6,0,6,,,,,,,,,,
B27-Q-HB,Discontinued,Active,B27 QUEEN HEADBOARD,NAVY BLUE VELVET,* BOX 1 OF 3 *,0,,6,0,6,,,,,,,,,,
B27-Q-SL,Discontinued,Active,B27 QUEEN SLAT,* BOX 3 OF 3 *,,0,,6,0,6,,,,,,,,,,
 ,,,,,,,,,,,,,,,,,,,,
B28-CKB,Discontinued,Active,B28 CAL. KING BED,BLACK VELVET,* 3 BOXES *,420,399,,,1,,,,,,,,,,
B28-EKB,Discontinued,Active,B28 EASTERN KING BED,BLACK VELVET,* 3 BOXES *,420,399,,,2,,,,,,,,,,
B28-QB,Discontinued,Active,B28 QUEEN BED,BLACK VELVET,* 3 BOXES *,367,349,,,2,,,,,,,,,,
B28-CK-FB,Discontinued,Active,B28 CAL. KING FOOTBOARD & SIDE RAILS,BLACK VELVET,* BOX 2 OF 3 *,0,,1,0,1,,,,,,,,,,
